Data;Residuo;Quantidade;Tecnologia;;
2018-09-19;180401(*);0.00;Aterro;;
2018-09-19;180111(*);0.21;Aterro;;
2018-09-20;180401(*);0.00;Aterro;;
2018-09-20;180111(*);0.21;Aterro;;
2018-09-20;180401(*);0.00;Aterro;;
2018-09-20;180111(*);0.20;Aterro;;
2018-09-20;180401(*);0.00;Aterro;;
2018-09-20;180111(*);0.21;Aterro;;
2018-09-24;180401(*);0.00;Aterro;;
2018-09-24;180111(*);0.22;Aterro;;
2018-09-25;180401(*);0.00;Aterro;;
2018-09-25;180111(*);0.22;Aterro;;
2018-09-26;180401(*);0.00;Aterro;;
2018-09-26;180111(*);0.22;Aterro;;
2018-09-27;180401(*);0.00;Aterro;;
2018-09-27;180111(*);0.20;Aterro;;
2018-09-27;180401(*);0.00;Aterro;;
2018-09-27;180111(*);0.25;Aterro;;
2018-09-27;180401(*);0.00;Aterro;;
2018-09-27;180111(*);0.20;Aterro;;
2018-10-02;180401(*);0.00;Aterro;;
2018-10-02;180111(*);0.19;Aterro;;
2018-10-02;180401(*);0.00;Aterro;;
2018-10-02;180111(*);0.21;Aterro;;
2018-10-03;180401(*);0.00;Aterro;;
2018-10-03;180111(*);0.22;Aterro;;
2018-10-03;180401(*);0.00;Aterro;;
2018-10-03;180111(*);0.17;Aterro;;
2018-10-04;180401(*);0.00;Aterro;;
2018-10-04;180111(*);0.22;Aterro;;
2018-10-04;180401(*);0.00;Aterro;;
2018-10-04;180111(*);0.21;Aterro;;
2018-10-08;180401(*);0.00;Aterro;;
2018-10-08;180111(*);0.28;Aterro;;
2018-10-09;180401(*);0.00;Aterro;;
2018-10-09;180111(*);0.22;Aterro;;
2018-10-10;180401(*);0.00;Aterro;;
2018-10-10;180111(*);0.27;Aterro;;
2018-10-10;180401(*);0.00;Aterro;;
2018-10-10;180111(*);0.33;Aterro;;
2018-10-10;180401(*);0.00;Aterro;;
2018-10-10;180111(*);0.18;Aterro;;
2018-10-15;180401(*);0.00;Aterro;;
2018-10-15;180111(*);0.23;Aterro;;
2018-10-16;180401(*);0.00;Aterro;;
2018-10-16;180111(*);0.21;Aterro;;
2018-10-17;180401(*);0.17;Aterro;;
2018-10-17;180111(*);0.00;Aterro;;
2018-10-18;180401(*);0.00;Aterro;;
2018-10-18;180111(*);0.24;Aterro;;
2018-10-18;180401(*);0.00;Aterro;;
2018-10-18;180111(*);0.26;Aterro;;
2018-10-18;180401(*);0.00;Aterro;;
2018-10-18;180111(*);0.19;Aterro;;
2018-10-23;180401(*);0.00;Aterro;;
2018-10-23;180111(*);0.21;Aterro;;
2018-10-24;180401(*);0.00;Aterro;;
2018-10-24;180111(*);0.27;Aterro;;
2018-10-25;180401(*);0.00;Aterro;;
