DATETIME,ANO,MES,DIA,HORA,VALOR,VALOR_ORIGINAL,UNIDADE,QAQC_INTERNO,QAQC_MMA
2017-05-29 01:00:00,2017,5,29,1,42.0,42.0,µg/m3,True,True
2017-05-29 02:00:00,2017,5,29,2,49.0,49.0,µg/m3,True,True
2017-05-29 03:00:00,2017,5,29,3,42.0,42.0,µg/m3,True,True
2017-05-29 04:00:00,2017,5,29,4,34.0,34.0,µg/m3,True,True
2017-05-29 05:00:00,2017,5,29,5,26.0,26.0,µg/m3,True,True
2017-05-29 06:00:00,2017,5,29,6,12.0,12.0,µg/m3,True,True
2017-05-29 07:00:00,2017,5,29,7,16.0,16.0,µg/m3,True,True
2017-05-29 08:00:00,2017,5,29,8,,,,True,False
2017-05-29 09:00:00,2017,5,29,9,19.0,19.0,µg/m3,True,True
2017-05-29 10:00:00,2017,5,29,10,11.0,11.0,µg/m3,True,True
2017-05-29 11:00:00,2017,5,29,11,12.0,12.0,µg/m3,True,True
2017-05-29 12:00:00,2017,5,29,12,10.0,10.0,µg/m3,True,True
2017-05-29 13:00:00,2017,5,29,13,6.0,6.0,µg/m3,True,True
2017-05-29 14:00:00,2017,5,29,14,2.0,2.0,µg/m3,True,True
2017-05-29 15:00:00,2017,5,29,15,11.0,11.0,µg/m3,True,True
2017-05-29 16:00:00,2017,5,29,16,12.0,12.0,µg/m3,True,True
2017-05-29 17:00:00,2017,5,29,17,15.0,15.0,µg/m3,True,True
2017-05-29 18:00:00,2017,5,29,18,13.0,13.0,µg/m3,True,True
2017-05-29 19:00:00,2017,5,29,19,19.0,19.0,µg/m3,True,True
2017-05-29 20:00:00,2017,5,29,20,21.0,21.0,µg/m3,True,True
2017-05-29 21:00:00,2017,5,29,21,29.0,29.0,µg/m3,True,True
2017-05-29 22:00:00,2017,5,29,22,30.0,30.0,µg/m3,True,True
2017-05-29 23:00:00,2017,5,29,23,31.0,31.0,µg/m3,True,True
2017-05-30 00:00:00,2017,5,30,0,30.0,30.0,µg/m3,True,True
2017-05-30 01:00:00,2017,5,30,1,30.0,30.0,µg/m3,True,True
2017-05-30 02:00:00,2017,5,30,2,32.0,32.0,µg/m3,True,True
2017-05-30 03:00:00,2017,5,30,3,35.0,35.0,µg/m3,True,True
2017-05-30 04:00:00,2017,5,30,4,36.0,36.0,µg/m3,True,True
2017-05-30 05:00:00,2017,5,30,5,29.0,29.0,µg/m3,True,True
2017-05-30 06:00:00,2017,5,30,6,9.0,9.0,µg/m3,True,True
2017-05-30 07:00:00,2017,5,30,7,11.0,11.0,µg/m3,True,True
2017-05-30 08:00:00,2017,5,30,8,21.0,21.0,µg/m3,True,True
2017-05-30 09:00:00,2017,5,30,9,14.0,14.0,µg/m3,True,True
2017-05-30 10:00:00,2017,5,30,10,14.0,14.0,µg/m3,True,True
2017-05-30 11:00:00,2017,5,30,11,9.0,9.0,µg/m3,True,True
2017-05-30 12:00:00,2017,5,30,12,7.0,7.0,µg/m3,True,True
2017-05-30 13:00:00,2017,5,30,13,13.0,13.0,µg/m3,True,True
2017-05-30 14:00:00,2017,5,30,14,16.0,16.0,µg/m3,True,True
2017-05-30 15:00:00,2017,5,30,15,6.0,6.0,µg/m3,True,True
2017-05-30 16:00:00,2017,5,30,16,15.0,15.0,µg/m3,True,True
2017-05-30 17:00:00,2017,5,30,17,8.0,8.0,µg/m3,True,True
2017-05-30 18:00:00,2017,5,30,18,7.0,7.0,µg/m3,True,True
2017-05-30 19:00:00,2017,5,30,19,7.0,7.0,µg/m3,True,True
2017-05-30 20:00:00,2017,5,30,20,6.0,6.0,µg/m3,True,True
2017-05-30 21:00:00,2017,5,30,21,10.0,10.0,µg/m3,True,True
2017-05-30 22:00:00,2017,5,30,22,10.0,10.0,µg/m3,True,True
2017-05-30 23:00:00,2017,5,30,23,12.0,12.0,µg/m3,True,True
2017-05-31 00:00:00,2017,5,31,0,9.0,9.0,µg/m3,True,True
2017-05-31 01:00:00,2017,5,31,1,17.0,17.0,µg/m3,True,True
2017-05-31 02:00:00,2017,5,31,2,7.0,7.0,µg/m3,True,True
2017-05-31 03:00:00,2017,5,31,3,10.0,10.0,µg/m3,True,True
2017-05-31 04:00:00,2017,5,31,4,9.0,9.0,µg/m3,True,True
2017-05-31 05:00:00,2017,5,31,5,11.0,11.0,µg/m3,True,True
2017-05-31 06:00:00,2017,5,31,6,8.0,8.0,µg/m3,True,True
2017-05-31 07:00:00,2017,5,31,7,14.0,14.0,µg/m3,True,True
2017-05-31 08:00:00,2017,5,31,8,12.0,12.0,µg/m3,True,True
2017-05-31 09:00:00,2017,5,31,9,11.0,11.0,µg/m3,True,True
2017-05-31 10:00:00,2017,5,31,10,8.0,8.0,µg/m3,True,True
2017-05-31 11:00:00,2017,5,31,11,6.0,6.0,µg/m3,True,True
2017-05-31 12:00:00,2017,5,31,12,11.0,11.0,µg/m3,True,True
2017-05-31 13:00:00,2017,5,31,13,12.0,12.0,µg/m3,True,True
2017-05-31 14:00:00,2017,5,31,14,7.0,7.0,µg/m3,True,True
2017-05-31 15:00:00,2017,5,31,15,11.0,11.0,µg/m3,True,True
2017-05-31 16:00:00,2017,5,31,16,16.0,16.0,µg/m3,True,True
2017-05-31 17:00:00,2017,5,31,17,18.0,18.0,µg/m3,True,True
2017-05-31 18:00:00,2017,5,31,18,20.0,20.0,µg/m3,True,True
2017-05-31 19:00:00,2017,5,31,19,28.0,28.0,µg/m3,True,True
2017-05-31 20:00:00,2017,5,31,20,25.0,25.0,µg/m3,True,True
2017-05-31 21:00:00,2017,5,31,21,27.0,27.0,µg/m3,True,True
2017-05-31 22:00:00,2017,5,31,22,23.0,23.0,µg/m3,True,True
2017-05-31 23:00:00,2017,5,31,23,21.0,21.0,µg/m3,True,True
2017-06-01 00:00:00,2017,6,1,0,13.0,13.0,µg/m3,True,True
2017-06-01 01:00:00,2017,6,1,1,11.0,11.0,µg/m3,True,True
2017-06-01 02:00:00,2017,6,1,2,20.0,20.0,µg/m3,True,True
2017-06-01 03:00:00,2017,6,1,3,22.0,22.0,µg/m3,True,True
2017-06-01 04:00:00,2017,6,1,4,27.0,27.0,µg/m3,True,True
2017-06-01 05:00:00,2017,6,1,5,23.0,23.0,µg/m3,True,True
2017-06-01 06:00:00,2017,6,1,6,27.0,27.0,µg/m3,True,True
2017-06-01 07:00:00,2017,6,1,7,16.0,16.0,µg/m3,True,True
2017-06-01 08:00:00,2017,6,1,8,8.0,8.0,µg/m3,True,True
2017-06-01 09:00:00,2017,6,1,9,4.0,4.0,µg/m3,True,True
2017-06-01 10:00:00,2017,6,1,10,18.0,18.0,µg/m3,True,True
2017-06-01 11:00:00,2017,6,1,11,13.0,13.0,µg/m3,True,True
2017-06-01 12:00:00,2017,6,1,12,19.0,19.0,µg/m3,True,True
2017-06-01 13:00:00,2017,6,1,13,18.0,18.0,µg/m3,True,True
2017-06-01 14:00:00,2017,6,1,14,15.0,15.0,µg/m3,True,True
2017-06-01 15:00:00,2017,6,1,15,7.0,7.0,µg/m3,True,True
2017-06-01 16:00:00,2017,6,1,16,2.0,2.0,µg/m3,True,True
2017-06-01 17:00:00,2017,6,1,17,8.0,8.0,µg/m3,True,True
2017-06-01 18:00:00,2017,6,1,18,5.0,5.0,µg/m3,True,True
2017-06-01 19:00:00,2017,6,1,19,8.0,8.0,µg/m3,True,True
2017-06-01 20:00:00,2017,6,1,20,9.0,9.0,µg/m3,True,True
2017-06-01 21:00:00,2017,6,1,21,3.0,3.0,µg/m3,True,True
2017-06-01 22:00:00,2017,6,1,22,2.0,2.0,µg/m3,True,True
2017-06-01 23:00:00,2017,6,1,23,6.0,6.0,µg/m3,True,True
2017-06-02 00:00:00,2017,6,2,0,6.0,6.0,µg/m3,True,True
2017-06-02 01:00:00,2017,6,2,1,1.0,1.0,µg/m3,True,True
2017-06-02 02:00:00,2017,6,2,2,7.0,7.0,µg/m3,True,True
2017-06-02 03:00:00,2017,6,2,3,3.0,3.0,µg/m3,True,True
2017-06-02 04:00:00,2017,6,2,4,3.0,3.0,µg/m3,True,True
2017-06-02 05:00:00,2017,6,2,5,4.0,4.0,µg/m3,True,True
2017-06-02 06:00:00,2017,6,2,6,4.0,4.0,µg/m3,True,True
2017-06-02 07:00:00,2017,6,2,7,5.0,5.0,µg/m3,True,True
2017-06-02 08:00:00,2017,6,2,8,4.0,4.0,µg/m3,True,True
2017-06-02 09:00:00,2017,6,2,9,,0.0,µg/m3,True,False
2017-06-02 10:00:00,2017,6,2,10,,0.0,µg/m3,True,False
2017-06-02 11:00:00,2017,6,2,11,4.0,4.0,µg/m3,True,True
2017-06-02 12:00:00,2017,6,2,12,7.0,7.0,µg/m3,True,True
2017-06-02 13:00:00,2017,6,2,13,7.0,7.0,µg/m3,True,True
2017-06-02 14:00:00,2017,6,2,14,5.0,5.0,µg/m3,True,True
2017-06-02 15:00:00,2017,6,2,15,5.0,5.0,µg/m3,True,True
2017-06-02 16:00:00,2017,6,2,16,20.0,20.0,µg/m3,True,True
2017-06-02 17:00:00,2017,6,2,17,13.0,13.0,µg/m3,True,True
2017-06-02 18:00:00,2017,6,2,18,17.0,17.0,µg/m3,True,True
2017-06-02 19:00:00,2017,6,2,19,16.0,16.0,µg/m3,True,True
2017-06-02 20:00:00,2017,6,2,20,19.0,19.0,µg/m3,True,True
2017-06-02 21:00:00,2017,6,2,21,24.0,24.0,µg/m3,True,True
2017-06-02 22:00:00,2017,6,2,22,21.0,21.0,µg/m3,True,True
2017-06-02 23:00:00,2017,6,2,23,19.0,19.0,µg/m3,True,True
2017-06-03 00:00:00,2017,6,3,0,22.0,22.0,µg/m3,True,True
2017-06-03 01:00:00,2017,6,3,1,22.0,22.0,µg/m3,True,True
2017-06-03 02:00:00,2017,6,3,2,14.0,14.0,µg/m3,True,True
2017-06-03 03:00:00,2017,6,3,3,12.0,12.0,µg/m3,True,True
2017-06-03 04:00:00,2017,6,3,4,17.0,17.0,µg/m3,True,True
2017-06-03 05:00:00,2017,6,3,5,14.0,14.0,µg/m3,True,True
2017-06-03 06:00:00,2017,6,3,6,14.0,14.0,µg/m3,True,True
2017-06-03 07:00:00,2017,6,3,7,16.0,16.0,µg/m3,True,True
2017-06-03 08:00:00,2017,6,3,8,12.0,12.0,µg/m3,True,True
2017-06-03 09:00:00,2017,6,3,9,8.0,8.0,µg/m3,True,True
2017-06-03 10:00:00,2017,6,3,10,1.0,1.0,µg/m3,True,True
2017-06-03 11:00:00,2017,6,3,11,4.0,4.0,µg/m3,True,True
2017-06-03 12:00:00,2017,6,3,12,12.0,12.0,µg/m3,True,True
2017-06-03 13:00:00,2017,6,3,13,9.0,9.0,µg/m3,True,True
2017-06-03 14:00:00,2017,6,3,14,13.0,13.0,µg/m3,True,True
2017-06-03 15:00:00,2017,6,3,15,13.0,13.0,µg/m3,True,True
2017-06-03 16:00:00,2017,6,3,16,24.0,24.0,µg/m3,True,True
2017-06-03 17:00:00,2017,6,3,17,23.0,23.0,µg/m3,True,True
2017-06-03 18:00:00,2017,6,3,18,20.0,20.0,µg/m3,True,True
2017-06-03 19:00:00,2017,6,3,19,28.0,28.0,µg/m3,True,True
2017-06-03 20:00:00,2017,6,3,20,27.0,27.0,µg/m3,True,True
2017-06-03 21:00:00,2017,6,3,21,32.0,32.0,µg/m3,True,True
2017-06-03 22:00:00,2017,6,3,22,34.0,34.0,µg/m3,True,True
