,ano,Residuo,Quantidade
0,2018,180103(*),0.0
1,2018,180111(*),17.85
2,2018,180205(*),0.05
3,2018,180401(*),0.17
4,2019,180103(*),0.0
5,2019,180111(*),68.49
6,2019,180201(*),0.02
7,2019,180205(*),0.28
8,2019,180401(*),0.03
9,2019,GrupoE,0.04
10,2020,180102(*),3.6100000000000003
11,2020,180103(*),27.11
12,2020,180106(*),0.0
13,2020,180111(*),72.13
14,2020,180205(*),0.18
15,2020,180401(*),0.07
16,2020,GrupoE,0.04
17,2021,180101(*),8.83
18,2021,180102(*),21.490000000000002
19,2021,180103(*),1.98
20,2021,180106(*),0.0
21,2021,180111(*),90.61
22,2021,180201(*),0.0
23,2021,180205(*),0.0
24,2021,180401(*),0.17
25,2021,GrupoE,0.23
26,2022,150110(*),0.04
27,2022,180101(*),2.59
28,2022,180106(*),0.25
29,2022,180111(*),100.0
30,2022,180201(*),0.01
31,2022,180205(*),0.0
32,2022,180401(*),2.57
33,2022,GrupoB,0.02
34,2022,GrupoE,0.33
35,2023,150110(*),0.26
36,2023,160303(*),0.04
37,2023,180101(*),0.14
38,2023,180106(*),0.04
39,2023,180111(*),99.34
40,2023,180201(*),0.1
41,2023,180205(*),0.0
42,2023,180401(*),6.52
43,2023,200121(*),0.0
44,2023,200133(*),0.01
45,2023,GrupoB,0.0
46,2023,GrupoE,0.17
47,2024,150110(*),0.24
48,2024,160303(*),0.05
49,2024,180106(*),0.39
50,2024,180111(*),93.99
51,2024,180201(*),0.05
52,2024,180205(*),0.0
53,2024,180401(*),7.0200000000000005
54,2024,200199,0.27
55,2024,GrupoB,0.0
56,2024,GrupoE,0.1
57,2025,150110(*),1.06
58,2025,160303(*),0.07
59,2025,180101(*),0.07
60,2025,180106(*),0.02
61,2025,180111(*),35.74
62,2025,180201(*),0.02
63,2025,180205(*),0.0
64,2025,180401(*),2.61
65,2025,GrupoB,0.03
66,2025,GrupoE,0.03
