,ano,Resíduo,Quantidade
0,2018,180111(*),1.37
1,2018,180401(*),0.0
2,2019,150110(*),4.6
3,2019,180111(*),5.98
4,2019,180401(*),0.0
5,2020,150110(*),2.14
6,2020,180102(*),0.0
7,2020,180111(*),3.64
8,2020,180401(*),0.02
9,2021,180102(*),0.0
10,2021,180111(*),3.0300000000000002
11,2021,180401(*),0.0
12,2022,150110(*),0.35
13,2022,180111(*),3.12
14,2022,180201(*),0.01
15,2023,150110(*),1.11
16,2023,180111(*),2.74
17,2023,180201(*),0.0
18,2023,180205(*),0.0
19,2023,200121(*),0.0
20,2023,GrupoE,0.01
21,2024,150110(*),1.41
22,2024,180111(*),3.18
23,2024,180201(*),0.03
24,2024,180205(*),0.0
25,2024,GrupoE,0.01
26,2025,150110(*),1.23
27,2025,160214,1.85
28,2025,180111(*),0.99
29,2025,180201(*),0.0
30,2025,180205(*),0.0
31,2025,180401(*),0.03
32,2025,200133(*),0.0
33,2025,GrupoB,0.0
34,2025,GrupoE,0.08
