,nomeEstacao,acum_3d,acum_7d,acum_13d
327,Coqueiros,0.0,0.0,0.0
328,Coqueiros,0.0,0.0,0.0
329,Coqueiros,0.0,0.0,0.0
330,Coqueiros,0.0,0.0,0.0
331,Coqueiros,0.0,0.0,0.0
332,Coqueiros,0.0,0.0,0.0
333,Coqueiros,0.0,0.0,0.0
334,Coqueiros,0.0,0.0,0.0
335,Coqueiros,0.0,0.0,0.0
336,Coqueiros,0.0,0.0,0.0
337,Coqueiros,0.0,0.0,0.0
338,Coqueiros,0.0,0.0,0.0
339,Coqueiros,0.2,0.2,0.2
340,Coqueiros,0.2,0.2,0.2
341,Coqueiros,0.2,0.2,0.2
342,Coqueiros,0.0,0.2,0.2
343,Coqueiros,0.0,0.2,0.2
344,Coqueiros,0.0,0.2,0.2
345,Coqueiros,0.0,0.2,0.2
346,Coqueiros,0.0,0.0,0.2
347,Coqueiros,0.0,0.0,0.2
348,Coqueiros,0.0,0.0,0.2
349,Coqueiros,0.0,0.0,0.2
350,Coqueiros,0.0,0.0,0.2
351,Coqueiros,0.0,0.0,0.2
1139,Areias_Campeche,0.0,0.0,0.0
1140,Areias_Campeche,0.0,0.0,0.0
1141,Areias_Campeche,0.0,0.0,0.0
1142,Areias_Campeche,0.0,0.0,0.0
1143,Areias_Campeche,0.0,0.0,0.0
1144,Areias_Campeche,0.0,0.0,0.0
1145,Areias_Campeche,0.0,0.0,0.0
1146,Areias_Campeche,0.0,0.0,0.0
1147,Areias_Campeche,0.0,0.0,0.0
1148,Areias_Campeche,0.0,0.0,0.0
1149,Areias_Campeche,0.0,0.0,0.0
1150,Areias_Campeche,0.0,0.0,0.0
1151,Areias_Campeche,0.0,0.0,0.0
1152,Areias_Campeche,0.0,0.0,0.0
1153,Areias_Campeche,0.0,0.0,0.0
1154,Areias_Campeche,0.0,0.0,0.0
1155,Areias_Campeche,0.0,0.0,0.0
1156,Areias_Campeche,0.0,0.0,0.0
1157,Areias_Campeche,0.0,0.0,0.0
1158,Areias_Campeche,0.0,0.0,0.0
1159,Areias_Campeche,0.0,0.0,0.0
1160,Areias_Campeche,0.0,0.0,0.0
1161,Areias_Campeche,0.0,0.0,0.0
1162,Areias_Campeche,0.0,0.0,0.0
1926,Agronomica,0.0,0.0,0.0
1927,Agronomica,0.0,0.0,0.0
1928,Agronomica,0.0,0.0,0.0
1929,Agronomica,0.0,0.0,0.0
1930,Agronomica,0.0,0.0,0.0
1931,Agronomica,0.0,0.0,0.0
1932,Agronomica,0.0,0.0,0.0
1933,Agronomica,0.0,0.0,0.0
1934,Agronomica,0.0,0.0,0.0
1935,Agronomica,0.0,0.0,0.0
1936,Agronomica,0.0,0.0,0.0
1937,Agronomica,0.0,0.0,0.0
1938,Agronomica,0.0,0.0,0.0
1939,Agronomica,0.0,0.0,0.0
