,municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora,precipitacao,data,hora
0,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 00:50:00,0.0,2025-01-01,00:50:00
1,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 01:20:00,0.0,2025-01-01,01:20:00
2,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 02:20:00,0.0,2025-01-01,02:20:00
3,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 03:30:00,0.0,2025-01-01,03:30:00
4,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 04:20:00,0.0,2025-01-01,04:20:00
5,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 05:20:00,0.0,2025-01-01,05:20:00
6,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 06:20:00,0.0,2025-01-01,06:20:00
7,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 07:20:00,0.0,2025-01-01,07:20:00
8,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 08:20:00,0.0,2025-01-01,08:20:00
9,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 09:20:00,0.0,2025-01-01,09:20:00
10,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 10:20:00,0.0,2025-01-01,10:20:00
11,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 11:20:00,0.0,2025-01-01,11:20:00
12,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 12:20:00,0.0,2025-01-01,12:20:00
13,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 13:20:00,0.0,2025-01-01,13:20:00
14,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 14:20:00,0.0,2025-01-01,14:20:00
15,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 15:20:00,0.0,2025-01-01,15:20:00
16,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 16:20:00,0.0,2025-01-01,16:20:00
17,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 17:20:00,0.0,2025-01-01,17:20:00
18,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 18:20:00,0.0,2025-01-01,18:20:00
19,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 19:20:00,0.0,2025-01-01,19:20:00
20,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 20:20:00,0.0,2025-01-01,20:20:00
21,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 21:20:00,0.0,2025-01-01,21:20:00
22,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 22:20:00,0.0,2025-01-01,22:20:00
23,FLORIANOPOLIS,420540702A,SC,Coqueiros,"-27,599","-48,573",2025-01-01 23:20:00,0.0,2025-01-01,23:20:00
