,Data,Residuo,Quantidade,Tecnologia,Unnamed: 4,Unnamed: 5,ano,mes
0,2018-09-19,180401(*),0.0,Aterro,,,2018,9
1,2018-09-19,180111(*),0.21,Aterro,,,2018,9
2,2018-09-20,180401(*),0.0,Aterro,,,2018,9
3,2018-09-20,180111(*),0.21,Aterro,,,2018,9
4,2018-09-20,180401(*),0.0,Aterro,,,2018,9
5,2018-09-20,180111(*),0.2,Aterro,,,2018,9
6,2018-09-20,180401(*),0.0,Aterro,,,2018,9
7,2018-09-20,180111(*),0.21,Aterro,,,2018,9
8,2018-09-24,180401(*),0.0,Aterro,,,2018,9
9,2018-09-24,180111(*),0.22,Aterro,,,2018,9
10,2018-09-25,180401(*),0.0,Aterro,,,2018,9
11,2018-09-25,180111(*),0.22,Aterro,,,2018,9
12,2018-09-26,180401(*),0.0,Aterro,,,2018,9
13,2018-09-26,180111(*),0.22,Aterro,,,2018,9
14,2018-09-27,180401(*),0.0,Aterro,,,2018,9
15,2018-09-27,180111(*),0.2,Aterro,,,2018,9
16,2018-09-27,180401(*),0.0,Aterro,,,2018,9
17,2018-09-27,180111(*),0.25,Aterro,,,2018,9
18,2018-09-27,180401(*),0.0,Aterro,,,2018,9
19,2018-09-27,180111(*),0.2,Aterro,,,2018,9
20,2018-10-02,180401(*),0.0,Aterro,,,2018,10
21,2018-10-02,180111(*),0.19,Aterro,,,2018,10
22,2018-10-02,180401(*),0.0,Aterro,,,2018,10
23,2018-10-02,180111(*),0.21,Aterro,,,2018,10
24,2018-10-03,180401(*),0.0,Aterro,,,2018,10
25,2018-10-03,180111(*),0.22,Aterro,,,2018,10
26,2018-10-03,180401(*),0.0,Aterro,,,2018,10
27,2018-10-03,180111(*),0.17,Aterro,,,2018,10
28,2018-10-04,180401(*),0.0,Aterro,,,2018,10
29,2018-10-04,180111(*),0.22,Aterro,,,2018,10
30,2018-10-04,180401(*),0.0,Aterro,,,2018,10
31,2018-10-04,180111(*),0.21,Aterro,,,2018,10
32,2018-10-08,180401(*),0.0,Aterro,,,2018,10
33,2018-10-08,180111(*),0.28,Aterro,,,2018,10
34,2018-10-09,180401(*),0.0,Aterro,,,2018,10
35,2018-10-09,180111(*),0.22,Aterro,,,2018,10
36,2018-10-10,180401(*),0.0,Aterro,,,2018,10
37,2018-10-10,180111(*),0.27,Aterro,,,2018,10
38,2018-10-10,180401(*),0.0,Aterro,,,2018,10
39,2018-10-10,180111(*),0.33,Aterro,,,2018,10
40,2018-10-10,180401(*),0.0,Aterro,,,2018,10
41,2018-10-10,180111(*),0.18,Aterro,,,2018,10
42,2018-10-15,180401(*),0.0,Aterro,,,2018,10
43,2018-10-15,180111(*),0.23,Aterro,,,2018,10
44,2018-10-16,180401(*),0.0,Aterro,,,2018,10
45,2018-10-16,180111(*),0.21,Aterro,,,2018,10
46,2018-10-17,180401(*),0.17,Aterro,,,2018,10
47,2018-10-17,180111(*),0.0,Aterro,,,2018,10
48,2018-10-18,180401(*),0.0,Aterro,,,2018,10
